quarter,year,quarter_number,quarter_start,local_authority,completions
2018Q4,2018,4,2018-10-01,Monaghan County Council,32
2018Q4,2018,4,2018-10-01,Mayo County Council,94
2018Q4,2018,4,2018-10-01,Offaly County Council,36
2018Q4,2018,4,2018-10-01,Roscommon County Council,47
2018Q4,2018,4,2018-10-01,South Dublin County Council,513
2018Q4,2018,4,2018-10-01,Sligo County Council,55
2018Q4,2018,4,2018-10-01,Tipperary County Council,70
2018Q4,2018,4,2018-10-01,Waterford City & County Council,162
2018Q4,2018,4,2018-10-01,Westmeath County Council,76
2018Q4,2018,4,2018-10-01,Wicklow County Council,202
2018Q4,2018,4,2018-10-01,Wexford County Council,123
2019Q1,2019,1,2019-01-01,Cork City Council,150
2019Q1,2019,1,2019-01-01,Clare County Council,56
2019Q1,2019,1,2019-01-01,Cavan County Council,31
2019Q1,2019,1,2019-01-01,Cork County Council,275
2019Q1,2019,1,2019-01-01,Carlow County Council,41
2019Q1,2019,1,2019-01-01,Dublin City Council,518
2019Q1,2019,1,2019-01-01,Dún Laoghaire Rathdown County Council,199
2019Q1,2019,1,2019-01-01,Donegal County Council,86
2019Q1,2019,1,2019-01-01,Fingal County Council,353
2019Q1,2019,1,2019-01-01,Galway County Council,144
2019Q1,2019,1,2019-01-01,Galway City Council,30
2019Q1,2019,1,2019-01-01,Kildare County Council,395
2019Q1,2019,1,2019-01-01,Kilkenny County Council,54
2019Q1,2019,1,2019-01-01,Kerry County Council,80
2019Q1,2019,1,2019-01-01,Longford County Council,39
2019Q1,2019,1,2019-01-01,Louth County Council,171
2019Q1,2019,1,2019-01-01,Limerick City & County Council,87
2019Q1,2019,1,2019-01-01,Leitrim County Council,11
2019Q1,2019,1,2019-01-01,Laois County Council,33
2019Q1,2019,1,2019-01-01,Meath County Council,294
2019Q1,2019,1,2019-01-01,Monaghan County Council,62
2019Q1,2019,1,2019-01-01,Mayo County Council,96
2019Q1,2019,1,2019-01-01,Offaly County Council,40
2019Q1,2019,1,2019-01-01,Roscommon County Council,39
2019Q1,2019,1,2019-01-01,South Dublin County Council,383
2019Q1,2019,1,2019-01-01,Sligo County Council,11
2019Q1,2019,1,2019-01-01,Tipperary County Council,72
2019Q1,2019,1,2019-01-01,Waterford City & County Council,76
2019Q1,2019,1,2019-01-01,Westmeath County Council,52
2019Q1,2019,1,2019-01-01,Wicklow County Council,208
2019Q1,2019,1,2019-01-01,Wexford County Council,135
2019Q2,2019,2,2019-04-01,Cork City Council,153
2019Q2,2019,2,2019-04-01,Clare County Council,120
2019Q2,2019,2,2019-04-01,Cavan County Council,32
2019Q2,2019,2,2019-04-01,Cork County Council,379
2019Q2,2019,2,2019-04-01,Carlow County Council,41
2019Q2,2019,2,2019-04-01,Dublin City Council,403
2019Q2,2019,2,2019-04-01,Dún Laoghaire Rathdown County Council,197
2019Q2,2019,2,2019-04-01,Donegal County Council,110
2019Q2,2019,2,2019-04-01,Fingal County Council,497
2019Q2,2019,2,2019-04-01,Galway County Council,197
2019Q2,2019,2,2019-04-01,Galway City Council,41
2019Q2,2019,2,2019-04-01,Kildare County Council,394
2019Q2,2019,2,2019-04-01,Kilkenny County Council,48
2019Q2,2019,2,2019-04-01,Kerry County Council,102
2019Q2,2019,2,2019-04-01,Longford County Council,15
2019Q2,2019,2,2019-04-01,Louth County Council,135
2019Q2,2019,2,2019-04-01,Limerick City & County Council,163
2019Q2,2019,2,2019-04-01,Leitrim County Council,11
2019Q2,2019,2,2019-04-01,Laois County Council,48
2019Q2,2019,2,2019-04-01,Meath County Council,468
2019Q2,2019,2,2019-04-01,Monaghan County Council,57
2019Q2,2019,2,2019-04-01,Mayo County Council,81
2019Q2,2019,2,2019-04-01,Offaly County Council,37
2019Q2,2019,2,2019-04-01,Roscommon County Council,34
2019Q2,2019,2,2019-04-01,South Dublin County Council,358
2019Q2,2019,2,2019-04-01,Sligo County Council,39
2019Q2,2019,2,2019-04-01,Tipperary County Council,79
2019Q2,2019,2,2019-04-01,Waterford City & County Council,84
2019Q2,2019,2,2019-04-01,Westmeath County Council,59
2019Q2,2019,2,2019-04-01,Wicklow County Council,233
2019Q2,2019,2,2019-04-01,Wexford County Council,174
2019Q3,2019,3,2019-07-01,Cork City Council,143
2019Q3,2019,3,2019-07-01,Clare County Council,102
2019Q3,2019,3,2019-07-01,Cavan County Council,38
2019Q3,2019,3,2019-07-01,Cork County Council,285
2019Q3,2019,3,2019-07-01,Carlow County Council,39
2019Q3,2019,3,2019-07-01,Dublin City Council,369
2019Q3,2019,3,2019-07-01,Dún Laoghaire Rathdown County Council,488
2019Q3,2019,3,2019-07-01,Donegal County Council,133
2019Q3,2019,3,2019-07-01,Fingal County Council,684
2019Q3,2019,3,2019-07-01,Galway County Council,199
2019Q3,2019,3,2019-07-01,Galway City Council,92
2019Q3,2019,3,2019-07-01,Kildare County Council,485
2019Q3,2019,3,2019-07-01,Kilkenny County Council,93
2019Q3,2019,3,2019-07-01,Kerry County Council,115
2019Q3,2019,3,2019-07-01,Longford County Council,28
2019Q3,2019,3,2019-07-01,Louth County Council,157
2019Q3,2019,3,2019-07-01,Limerick City & County Council,125
2019Q3,2019,3,2019-07-01,Leitrim County Council,10
2019Q3,2019,3,2019-07-01,Laois County Council,82
2019Q3,2019,3,2019-07-01,Meath County Council,470
2019Q3,2019,3,2019-07-01,Monaghan County Council,98
2019Q3,2019,3,2019-07-01,Mayo County Council,93
2019Q3,2019,3,2019-07-01,Offaly County Council,51
2019Q3,2019,3,2019-07-01,Roscommon County Council,33
2019Q3,2019,3,2019-07-01,South Dublin County Council,393
2019Q3,2019,3,2019-07-01,Sligo County Council,36
2019Q3,2019,3,2019-07-01,Tipperary County Council,82
2019Q3,2019,3,2019-07-01,Waterford City & County Council,142
2019Q3,2019,3,2019-07-01,Westmeath County Council,61
2019Q3,2019,3,2019-07-01,Wicklow County Council,351
2019Q3,2019,3,2019-07-01,Wexford County Council,123
2019Q4,2019,4,2019-10-01,Cork City Council,278
2019Q4,2019,4,2019-10-01,Clare County Council,108
2019Q4,2019,4,2019-10-01,Cavan County Council,36
2019Q4,2019,4,2019-10-01,Cork County Council,472
2019Q4,2019,4,2019-10-01,Carlow County Council,73
2019Q4,2019,4,2019-10-01,Dublin City Council,488
2019Q4,2019,4,2019-10-01,Dún Laoghaire Rathdown County Council,254
2019Q4,2019,4,2019-10-01,Donegal County Council,101
2019Q4,2019,4,2019-10-01,Fingal County Council,783
2019Q4,2019,4,2019-10-01,Galway County Council,249
2019Q4,2019,4,2019-10-01,Galway City Council,93
2019Q4,2019,4,2019-10-01,Kildare County Council,623
2019Q4,2019,4,2019-10-01,Kilkenny County Council,94
2019Q4,2019,4,2019-10-01,Kerry County Council,146
2019Q4,2019,4,2019-10-01,Longford County Council,50
2019Q4,2019,4,2019-10-01,Louth County Council,203
2019Q4,2019,4,2019-10-01,Limerick City & County Council,177
2019Q4,2019,4,2019-10-01,Leitrim County Council,7
2019Q4,2019,4,2019-10-01,Laois County Council,77
2019Q4,2019,4,2019-10-01,Meath County Council,404
2019Q4,2019,4,2019-10-01,Monaghan County Council,63
2019Q4,2019,4,2019-10-01,Mayo County Council,167
2019Q4,2019,4,2019-10-01,Offaly County Council,99
2019Q4,2019,4,2019-10-01,Roscommon County Council,47
2019Q4,2019,4,2019-10-01,South Dublin County Council,523
2019Q4,2019,4,2019-10-01,Sligo County Council,27
2019Q4,2019,4,2019-10-01,Tipperary County Council,76
2019Q4,2019,4,2019-10-01,Waterford City & County Council,139
2019Q4,2019,4,2019-10-01,Westmeath County Council,70
2019Q4,2019,4,2019-10-01,Wicklow County Council,322
2019Q4,2019,4,2019-10-01,Wexford County Council,153
2020Q1,2020,1,2020-01-01,Cork City Council,245
2020Q1,2020,1,2020-01-01,Clare County Council,76
2020Q1,2020,1,2020-01-01,Cavan County Council,37
2020Q1,2020,1,2020-01-01,Cork County Council,354
2020Q1,2020,1,2020-01-01,Carlow County Council,25
2020Q1,2020,1,2020-01-01,Dublin City Council,655
2020Q1,2020,1,2020-01-01,Dún Laoghaire Rathdown County Council,249
2020Q1,2020,1,2020-01-01,Donegal County Council,120
2020Q1,2020,1,2020-01-01,Fingal County Council,413
2020Q1,2020,1,2020-01-01,Galway County Council,192
2020Q1,2020,1,2020-01-01,Galway City Council,57
2020Q1,2020,1,2020-01-01,Kildare County Council,328
2020Q1,2020,1,2020-01-01,Kilkenny County Council,112
2020Q1,2020,1,2020-01-01,Kerry County Council,85
2020Q1,2020,1,2020-01-01,Longford County Council,19
2020Q1,2020,1,2020-01-01,Louth County Council,115
2020Q1,2020,1,2020-01-01,Limerick City & County Council,127
2020Q1,2020,1,2020-01-01,Leitrim County Council,5
2020Q1,2020,1,2020-01-01,Laois County Council,65
2020Q1,2020,1,2020-01-01,Meath County Council,381
2020Q1,2020,1,2020-01-01,Monaghan County Council,44
2020Q1,2020,1,2020-01-01,Mayo County Council,120
2020Q1,2020,1,2020-01-01,Offaly County Council,45
2020Q1,2020,1,2020-01-01,Roscommon County Council,28
2020Q1,2020,1,2020-01-01,South Dublin County Council,315
2020Q1,2020,1,2020-01-01,Sligo County Council,74
2020Q1,2020,1,2020-01-01,Tipperary County Council,68
2020Q1,2020,1,2020-01-01,Waterford City & County Council,130
2020Q1,2020,1,2020-01-01,Westmeath County Council,82
2020Q1,2020,1,2020-01-01,Wicklow County Council,222
2020Q1,2020,1,2020-01-01,Wexford County Council,140
2020Q2,2020,2,2020-04-01,Cork City Council,140
2020Q2,2020,2,2020-04-01,Clare County Council,70
2020Q2,2020,2,2020-04-01,Cavan County Council,30
2020Q2,2020,2,2020-04-01,Cork County Council,192
2020Q2,2020,2,2020-04-01,Carlow County Council,46
2020Q2,2020,2,2020-04-01,Dublin City Council,252
2020Q2,2020,2,2020-04-01,Dún Laoghaire Rathdown County Council,102
2020Q2,2020,2,2020-04-01,Donegal County Council,98
2020Q2,2020,2,2020-04-01,Fingal County Council,308
2020Q2,2020,2,2020-04-01,Galway County Council,122
2020Q2,2020,2,2020-04-01,Galway City Council,31
2020Q2,2020,2,2020-04-01,Kildare County Council,279
2020Q2,2020,2,2020-04-01,Kilkenny County Council,67
2020Q2,2020,2,2020-04-01,Kerry County Council,55
2020Q2,2020,2,2020-04-01,Longford County Council,17
2020Q2,2020,2,2020-04-01,Louth County Council,190
2020Q2,2020,2,2020-04-01,Limerick City & County Council,64
2020Q2,2020,2,2020-04-01,Leitrim County Council,5
2020Q2,2020,2,2020-04-01,Laois County Council,62
2020Q2,2020,2,2020-04-01,Meath County Council,302
2020Q2,2020,2,2020-04-01,Monaghan County Council,33
2020Q2,2020,2,2020-04-01,Mayo County Council,53
2020Q2,2020,2,2020-04-01,Offaly County Council,25
2020Q2,2020,2,2020-04-01,Roscommon County Council,25
2020Q2,2020,2,2020-04-01,South Dublin County Council,166
2020Q2,2020,2,2020-04-01,Sligo County Council,11
2020Q2,2020,2,2020-04-01,Tipperary County Council,60
2020Q2,2020,2,2020-04-01,Waterford City & County Council,83
2020Q2,2020,2,2020-04-01,Westmeath County Council,55
2020Q2,2020,2,2020-04-01,Wicklow County Council,169
2020Q2,2020,2,2020-04-01,Wexford County Council,110
2020Q3,2020,3,2020-07-01,Cork City Council,323
2020Q3,2020,3,2020-07-01,Clare County Council,112
2020Q3,2020,3,2020-07-01,Cavan County Council,63
2020Q3,2020,3,2020-07-01,Cork County Council,404
2020Q3,2020,3,2020-07-01,Carlow County Council,66
2020Q3,2020,3,2020-07-01,Dublin City Council,385
2020Q3,2020,3,2020-07-01,Dún Laoghaire Rathdown County Council,198
2020Q3,2020,3,2020-07-01,Donegal County Council,131
2020Q3,2020,3,2020-07-01,Fingal County Council,293
2020Q3,2020,3,2020-07-01,Galway County Council,196
2020Q3,2020,3,2020-07-01,Galway City Council,47
2020Q3,2020,3,2020-07-01,Kildare County Council,493
2020Q3,2020,3,2020-07-01,Kilkenny County Council,87
2020Q3,2020,3,2020-07-01,Kerry County Council,181
2020Q3,2020,3,2020-07-01,Longford County Council,31
2020Q3,2020,3,2020-07-01,Louth County Council,147
2020Q3,2020,3,2020-07-01,Limerick City & County Council,137
2020Q3,2020,3,2020-07-01,Leitrim County Council,12
2020Q3,2020,3,2020-07-01,Laois County Council,80
2020Q3,2020,3,2020-07-01,Meath County Council,387
2020Q3,2020,3,2020-07-01,Monaghan County Council,59
2020Q3,2020,3,2020-07-01,Mayo County Council,130
2020Q3,2020,3,2020-07-01,Offaly County Council,43
2020Q3,2020,3,2020-07-01,Roscommon County Council,45
2020Q3,2020,3,2020-07-01,South Dublin County Council,218
2020Q3,2020,3,2020-07-01,Sligo County Council,51
2020Q3,2020,3,2020-07-01,Tipperary County Council,87
2020Q3,2020,3,2020-07-01,Waterford City & County Council,124
2020Q3,2020,3,2020-07-01,Westmeath County Council,59
2020Q3,2020,3,2020-07-01,Wicklow County Council,277
2020Q3,2020,3,2020-07-01,Wexford County Council,160
2020Q4,2020,4,2020-10-01,Cork City Council,316
2020Q4,2020,4,2020-10-01,Clare County Council,132
2020Q4,2020,4,2020-10-01,Cavan County Council,66
2020Q4,2020,4,2020-10-01,Cork County Council,475
2020Q4,2020,4,2020-10-01,Carlow County Council,63
2020Q4,2020,4,2020-10-01,Dublin City Council,908
2020Q4,2020,4,2020-10-01,Dún Laoghaire Rathdown County Council,273
2020Q4,2020,4,2020-10-01,Donegal County Council,225
2020Q4,2020,4,2020-10-01,Fingal County Council,372
2020Q4,2020,4,2020-10-01,Galway County Council,336
2020Q4,2020,4,2020-10-01,Galway City Council,64
2020Q4,2020,4,2020-10-01,Kildare County Council,561
2020Q4,2020,4,2020-10-01,Kilkenny County Council,117
2020Q4,2020,4,2020-10-01,Kerry County Council,247
2020Q4,2020,4,2020-10-01,Longford County Council,34
2020Q4,2020,4,2020-10-01,Louth County Council,172
2020Q4,2020,4,2020-10-01,Limerick City & County Council,180
2020Q4,2020,4,2020-10-01,Leitrim County Council,17
2020Q4,2020,4,2020-10-01,Laois County Council,132
2020Q4,2020,4,2020-10-01,Meath County Council,444
2020Q4,2020,4,2020-10-01,Monaghan County Council,77
2020Q4,2020,4,2020-10-01,Mayo County Council,109
2020Q4,2020,4,2020-10-01,Offaly County Council,85
2020Q4,2020,4,2020-10-01,Roscommon County Council,61
2020Q4,2020,4,2020-10-01,South Dublin County Council,923
2020Q4,2020,4,2020-10-01,Sligo County Council,37
2020Q4,2020,4,2020-10-01,Tipperary County Council,84
2020Q4,2020,4,2020-10-01,Waterford City & County Council,126
2020Q4,2020,4,2020-10-01,Westmeath County Council,91
2020Q4,2020,4,2020-10-01,Wicklow County Council,370
2020Q4,2020,4,2020-10-01,Wexford County Council,210
2021Q1,2021,1,2021-01-01,Cork City Council,194
2021Q1,2021,1,2021-01-01,Clare County Council,60
2021Q1,2021,1,2021-01-01,Cavan County Council,53
2021Q1,2021,1,2021-01-01,Cork County Council,265
2021Q1,2021,1,2021-01-01,Carlow County Council,35
2021Q1,2021,1,2021-01-01,Dublin City Council,365
2021Q1,2021,1,2021-01-01,Dún Laoghaire Rathdown County Council,116
2021Q1,2021,1,2021-01-01,Donegal County Council,83
2021Q1,2021,1,2021-01-01,Fingal County Council,312
2021Q1,2021,1,2021-01-01,Galway County Council,198
2021Q1,2021,1,2021-01-01,Galway City Council,134
2021Q1,2021,1,2021-01-01,Kildare County Council,319
2021Q1,2021,1,2021-01-01,Kilkenny County Council,59
2021Q1,2021,1,2021-01-01,Kerry County Council,130
2021Q1,2021,1,2021-01-01,Longford County Council,23
2021Q1,2021,1,2021-01-01,Louth County Council,174
2021Q1,2021,1,2021-01-01,Limerick City & County Council,125
2021Q1,2021,1,2021-01-01,Leitrim County Council,12
2021Q1,2021,1,2021-01-01,Laois County Council,132
2021Q1,2021,1,2021-01-01,Meath County Council,235
2021Q1,2021,1,2021-01-01,Monaghan County Council,47
2021Q1,2021,1,2021-01-01,Mayo County Council,65
2021Q1,2021,1,2021-01-01,Offaly County Council,50
2021Q1,2021,1,2021-01-01,Roscommon County Council,55
2021Q1,2021,1,2021-01-01,South Dublin County Council,212
2021Q1,2021,1,2021-01-01,Sligo County Council,24
2021Q1,2021,1,2021-01-01,Tipperary County Council,58
2021Q1,2021,1,2021-01-01,Waterford City & County Council,75
2021Q1,2021,1,2021-01-01,Westmeath County Council,95
2021Q1,2021,1,2021-01-01,Wicklow County Council,134
2021Q1,2021,1,2021-01-01,Wexford County Council,117
2021Q2,2021,2,2021-04-01,Cork City Council,154
2021Q2,2021,2,2021-04-01,Clare County Council,119
2021Q2,2021,2,2021-04-01,Cavan County Council,59
2021Q2,2021,2,2021-04-01,Cork County Council,407
2021Q2,2021,2,2021-04-01,Carlow County Council,79
2021Q2,2021,2,2021-04-01,Dublin City Council,392
2021Q2,2021,2,2021-04-01,Dún Laoghaire Rathdown County Council,321
2021Q2,2021,2,2021-04-01,Donegal County Council,123
2021Q2,2021,2,2021-04-01,Fingal County Council,519
2021Q2,2021,2,2021-04-01,Galway County Council,153
2021Q2,2021,2,2021-04-01,Galway City Council,88
2021Q2,2021,2,2021-04-01,Kildare County Council,484
2021Q2,2021,2,2021-04-01,Kilkenny County Council,107
2021Q2,2021,2,2021-04-01,Kerry County Council,99
2021Q2,2021,2,2021-04-01,Longford County Council,24
2021Q2,2021,2,2021-04-01,Louth County Council,165
2021Q2,2021,2,2021-04-01,Limerick City & County Council,137
2021Q2,2021,2,2021-04-01,Leitrim County Council,26
2021Q2,2021,2,2021-04-01,Laois County Council,83
2021Q2,2021,2,2021-04-01,Meath County Council,244
2021Q2,2021,2,2021-04-01,Monaghan County Council,54
2021Q2,2021,2,2021-04-01,Mayo County Council,98
2021Q2,2021,2,2021-04-01,Offaly County Council,49
2021Q2,2021,2,2021-04-01,Roscommon County Council,61
2021Q2,2021,2,2021-04-01,South Dublin County Council,288
2021Q2,2021,2,2021-04-01,Sligo County Council,30
2021Q2,2021,2,2021-04-01,Tipperary County Council,69
2021Q2,2021,2,2021-04-01,Waterford City & County Council,128
2021Q2,2021,2,2021-04-01,Westmeath County Council,66
2021Q2,2021,2,2021-04-01,Wicklow County Council,148
2021Q2,2021,2,2021-04-01,Wexford County Council,183
2021Q3,2021,3,2021-07-01,Cork City Council,150
2021Q3,2021,3,2021-07-01,Clare County Council,87
2021Q3,2021,3,2021-07-01,Cavan County Council,42
2021Q3,2021,3,2021-07-01,Cork County Council,396
2021Q3,2021,3,2021-07-01,Carlow County Council,44
2021Q3,2021,3,2021-07-01,Dublin City Council,371
2021Q3,2021,3,2021-07-01,Dún Laoghaire Rathdown County Council,323
2021Q3,2021,3,2021-07-01,Donegal County Council,109
2021Q3,2021,3,2021-07-01,Fingal County Council,394
2021Q3,2021,3,2021-07-01,Galway County Council,194
2021Q3,2021,3,2021-07-01,Galway City Council,48
2021Q3,2021,3,2021-07-01,Kildare County Council,543
2021Q3,2021,3,2021-07-01,Kilkenny County Council,75
2021Q3,2021,3,2021-07-01,Kerry County Council,109
2021Q3,2021,3,2021-07-01,Longford County Council,17
2021Q3,2021,3,2021-07-01,Louth County Council,158
2021Q3,2021,3,2021-07-01,Limerick City & County Council,145
2021Q3,2021,3,2021-07-01,Leitrim County Council,25
2021Q3,2021,3,2021-07-01,Laois County Council,110
2021Q3,2021,3,2021-07-01,Meath County Council,260
2021Q3,2021,3,2021-07-01,Monaghan County Council,34
2021Q3,2021,3,2021-07-01,Mayo County Council,86
2021Q3,2021,3,2021-07-01,Offaly County Council,60
2021Q3,2021,3,2021-07-01,Roscommon County Council,56
2021Q3,2021,3,2021-07-01,South Dublin County Council,140
2021Q3,2021,3,2021-07-01,Sligo County Council,42
2021Q3,2021,3,2021-07-01,Tipperary County Council,60
2021Q3,2021,3,2021-07-01,Waterford City & County Council,138
2021Q3,2021,3,2021-07-01,Westmeath County Council,40
2021Q3,2021,3,2021-07-01,Wicklow County Council,228
2021Q3,2021,3,2021-07-01,Wexford County Council,138
2021Q4,2021,4,2021-10-01,Cork City Council,241
2021Q4,2021,4,2021-10-01,Clare County Council,143
2021Q4,2021,4,2021-10-01,Cavan County Council,41
2021Q4,2021,4,2021-10-01,Cork County Council,410
2021Q4,2021,4,2021-10-01,Carlow County Council,94
2021Q4,2021,4,2021-10-01,Dublin City Council,948
2021Q4,2021,4,2021-10-01,Dún Laoghaire Rathdown County Council,605
2021Q4,2021,4,2021-10-01,Donegal County Council,162
2021Q4,2021,4,2021-10-01,Fingal County Council,635
2021Q4,2021,4,2021-10-01,Galway County Council,200
2021Q4,2021,4,2021-10-01,Galway City Council,32
2021Q4,2021,4,2021-10-01,Kildare County Council,687
2021Q4,2021,4,2021-10-01,Kilkenny County Council,84
2021Q4,2021,4,2021-10-01,Kerry County Council,103
2021Q4,2021,4,2021-10-01,Longford County Council,60
2021Q4,2021,4,2021-10-01,Louth County Council,167
2021Q4,2021,4,2021-10-01,Limerick City & County Council,190
2021Q4,2021,4,2021-10-01,Leitrim County Council,21
2021Q4,2021,4,2021-10-01,Laois County Council,66
2021Q4,2021,4,2021-10-01,Meath County Council,529
2021Q4,2021,4,2021-10-01,Monaghan County Council,66
2021Q4,2021,4,2021-10-01,Mayo County Council,121
2021Q4,2021,4,2021-10-01,Offaly County Council,87
2021Q4,2021,4,2021-10-01,Roscommon County Council,37
2021Q4,2021,4,2021-10-01,South Dublin County Council,302
2021Q4,2021,4,2021-10-01,Sligo County Council,48
2021Q4,2021,4,2021-10-01,Tipperary County Council,118
2021Q4,2021,4,2021-10-01,Waterford City & County Council,179
2021Q4,2021,4,2021-10-01,Westmeath County Council,41
2021Q4,2021,4,2021-10-01,Wicklow County Council,237
2021Q4,2021,4,2021-10-01,Wexford County Council,254
2022Q1,2022,1,2022-01-01,Cork City Council,149
2022Q1,2022,1,2022-01-01,Clare County Council,143
2022Q1,2022,1,2022-01-01,Cavan County Council,43
2022Q1,2022,1,2022-01-01,Cork County Council,345
2022Q1,2022,1,2022-01-01,Carlow County Council,60
2022Q1,2022,1,2022-01-01,Dublin City Council,973
2022Q1,2022,1,2022-01-01,Dún Laoghaire Rathdown County Council,581
2022Q1,2022,1,2022-01-01,Donegal County Council,127
2022Q1,2022,1,2022-01-01,Fingal County Council,347
2022Q1,2022,1,2022-01-01,Galway County Council,172
2022Q1,2022,1,2022-01-01,Galway City Council,18
2022Q1,2022,1,2022-01-01,Kildare County Council,308
2022Q1,2022,1,2022-01-01,Kilkenny County Council,58
2022Q1,2022,1,2022-01-01,Kerry County Council,133
2022Q1,2022,1,2022-01-01,Longford County Council,26
2022Q1,2022,1,2022-01-01,Louth County Council,199
2022Q1,2022,1,2022-01-01,Limerick City & County Council,150
2022Q1,2022,1,2022-01-01,Leitrim County Council,9
2022Q1,2022,1,2022-01-01,Laois County Council,76
2022Q1,2022,1,2022-01-01,Meath County Council,276
2022Q1,2022,1,2022-01-01,Monaghan County Council,56
2022Q1,2022,1,2022-01-01,Mayo County Council,98
2022Q1,2022,1,2022-01-01,Offaly County Council,138
2022Q1,2022,1,2022-01-01,Roscommon County Council,41
2022Q1,2022,1,2022-01-01,South Dublin County Council,243
2022Q1,2022,1,2022-01-01,Sligo County Council,36
2022Q1,2022,1,2022-01-01,Tipperary County Council,79
2022Q1,2022,1,2022-01-01,Waterford City & County Council,155
2022Q1,2022,1,2022-01-01,Westmeath County Council,69
2022Q1,2022,1,2022-01-01,Wicklow County Council,268
2022Q1,2022,1,2022-01-01,Wexford County Council,217
2022Q2,2022,2,2022-04-01,Cork City Council,363
2022Q2,2022,2,2022-04-01,Clare County Council,165
2022Q2,2022,2,2022-04-01,Cavan County Council,80
2022Q2,2022,2,2022-04-01,Cork County Council,485
2022Q2,2022,2,2022-04-01,Carlow County Council,51
2022Q2,2022,2,2022-04-01,Dublin City Council,1021
2022Q2,2022,2,2022-04-01,Dún Laoghaire Rathdown County Council,668
2022Q2,2022,2,2022-04-01,Donegal County Council,155
2022Q2,2022,2,2022-04-01,Fingal County Council,592
2022Q2,2022,2,2022-04-01,Galway County Council,231
2022Q2,2022,2,2022-04-01,Galway City Council,140
2022Q2,2022,2,2022-04-01,Kildare County Council,566
2022Q2,2022,2,2022-04-01,Kilkenny County Council,146
2022Q2,2022,2,2022-04-01,Kerry County Council,213
2022Q2,2022,2,2022-04-01,Longford County Council,20
2022Q2,2022,2,2022-04-01,Louth County Council,200
2022Q2,2022,2,2022-04-01,Limerick City & County Council,211
2022Q2,2022,2,2022-04-01,Leitrim County Council,13
2022Q2,2022,2,2022-04-01,Laois County Council,152
2022Q2,2022,2,2022-04-01,Meath County Council,537
2022Q2,2022,2,2022-04-01,Monaghan County Council,98
2022Q2,2022,2,2022-04-01,Mayo County Council,114
2022Q2,2022,2,2022-04-01,Offaly County Council,87
2022Q2,2022,2,2022-04-01,Roscommon County Council,27
2022Q2,2022,2,2022-04-01,South Dublin County Council,425
2022Q2,2022,2,2022-04-01,Sligo County Council,47
2022Q2,2022,2,2022-04-01,Tipperary County Council,106
2022Q2,2022,2,2022-04-01,Waterford City & County Council,93
2022Q2,2022,2,2022-04-01,Westmeath County Council,91
2022Q2,2022,2,2022-04-01,Wicklow County Council,313
2022Q2,2022,2,2022-04-01,Wexford County Council,168
2022Q3,2022,3,2022-07-01,Cork City Council,330
2022Q3,2022,3,2022-07-01,Clare County Council,125
2022Q3,2022,3,2022-07-01,Cavan County Council,57
2022Q3,2022,3,2022-07-01,Cork County Council,481
2022Q3,2022,3,2022-07-01,Carlow County Council,54
2022Q3,2022,3,2022-07-01,Dublin City Council,1215
2022Q3,2022,3,2022-07-01,Dún Laoghaire Rathdown County Council,377
2022Q3,2022,3,2022-07-01,Donegal County Council,167
2022Q3,2022,3,2022-07-01,Fingal County Council,560
2022Q3,2022,3,2022-07-01,Galway County Council,224
2022Q3,2022,3,2022-07-01,Galway City Council,159
2022Q3,2022,3,2022-07-01,Kildare County Council,748
2022Q3,2022,3,2022-07-01,Kilkenny County Council,75
2022Q3,2022,3,2022-07-01,Kerry County Council,138
2022Q3,2022,3,2022-07-01,Longford County Council,50
2022Q3,2022,3,2022-07-01,Louth County Council,191
2022Q3,2022,3,2022-07-01,Limerick City & County Council,190
2022Q3,2022,3,2022-07-01,Leitrim County Council,23
2022Q3,2022,3,2022-07-01,Laois County Council,79
2022Q3,2022,3,2022-07-01,Meath County Council,390
2022Q3,2022,3,2022-07-01,Monaghan County Council,63
2022Q3,2022,3,2022-07-01,Mayo County Council,118
2022Q3,2022,3,2022-07-01,Offaly County Council,62
2022Q3,2022,3,2022-07-01,Roscommon County Council,42
2022Q3,2022,3,2022-07-01,South Dublin County Council,457
2022Q3,2022,3,2022-07-01,Sligo County Council,60
2022Q3,2022,3,2022-07-01,Tipperary County Council,66
2022Q3,2022,3,2022-07-01,Waterford City & County Council,107
2022Q3,2022,3,2022-07-01,Westmeath County Council,147
2022Q3,2022,3,2022-07-01,Wicklow County Council,326
2022Q3,2022,3,2022-07-01,Wexford County Council,281
2022Q4,2022,4,2022-10-01,Cork City Council,352
2022Q4,2022,4,2022-10-01,Clare County Council,123
2022Q4,2022,4,2022-10-01,Cavan County Council,71
2022Q4,2022,4,2022-10-01,Cork County Council,555
2022Q4,2022,4,2022-10-01,Carlow County Council,66
2022Q4,2022,4,2022-10-01,Dublin City Council,662
2022Q4,2022,4,2022-10-01,Dún Laoghaire Rathdown County Council,1080
2022Q4,2022,4,2022-10-01,Donegal County Council,199
2022Q4,2022,4,2022-10-01,Fingal County Council,532
2022Q4,2022,4,2022-10-01,Galway County Council,268
2022Q4,2022,4,2022-10-01,Galway City Council,95
2022Q4,2022,4,2022-10-01,Kildare County Council,1002
2022Q4,2022,4,2022-10-01,Kilkenny County Council,142
2022Q4,2022,4,2022-10-01,Kerry County Council,127
